job_id,skill_clusters
85008768.0,[]
133114754.0,[]
133196985.0,[]
381055942.0,[]
529257371.0,"[9, 26]"
903408693.0,"[9, 7]"
967848246.0,[26]
1004740969.0,"[26, 4]"
1029078768.0,[]
1053342128.0,[]
1418582485.0,[7]
1483357774.0,[]
1535492735.0,"[9, 12]"
1657978824.0,[]
1928027033.0,[]
2148434014.0,[8]
2148434019.0,[8]
2148434032.0,[]
2148434033.0,[]
2148434077.0,[]
2148434137.0,"[9, 1]"
2148434265.0,[3]
2148434427.0,[12]
2148434586.0,"[12, 29, 1]"
2148434616.0,[10]
2148434647.0,[]
2148434686.0,"[26, 29]"
2148434725.0,[]
2148434726.0,[]
2148434909.0,[1]
2282679989.0,[9]
2448418468.0,[]
2481100553.0,"[26, 4]"
2517244756.0,[]
2634247615.0,[]
2649106600.0,[26]
2730408164.0,"[4, 2]"
2764358929.0,[26]
2885838641.0,[]
3047547711.0,[]
3099261661.0,[]
3108036575.0,[26]
3192471360.0,[]
3243289926.0,"[9, 4, 1]"
3268185281.0,[10]
3313349770.0,"[26, 1]"
3326588170.0,[]
3373346816.0,[]
3378133231.0,"[2, 1]"
3395626440.0,[9]
3396803783.0,[12]
3419060873.0,"[12, 9]"
3422104915.0,"[25, 29]"
3442372601.0,"[7, 26, 4]"
3487275706.0,[9]
3497509795.0,"[1, 3]"
3497543368.0,[1]
3529464114.0,[5]
3532222332.0,[]
3532827942.0,[2]
3538940637.0,"[26, 10, 29]"
3557311439.0,[]
3557380225.0,[26]
3558876274.0,"[9, 7]"
3562282884.0,"[3, 5, 2]"
3564601168.0,[]
3568598527.0,"[26, 1]"
3580193834.0,[]
3584068782.0,[]
3586162459.0,[26]
3587706348.0,[]
3587919328.0,"[7, 26, 1]"
3596450056.0,[26]
3601203087.0,"[9, 26, 1]"
3601423875.0,"[12, 2]"
3603640939.0,[26]
3606156203.0,"[9, 12, 1]"
3618024320.0,[]
3623811800.0,[4]
3626156340.0,"[26, 4]"
3627129770.0,[]
3630997404.0,[]
3634090513.0,[26]
3635154108.0,[]
3636503102.0,[]
3637608593.0,[]
3638837564.0,[25]
3640739067.0,[]
3643209562.0,"[3, 7, 12, 4]"
3643371518.0,"[26, 4]"
3644109811.0,[]
3644195109.0,[]
